ID Produk,Kategori Produk,Nama Produk,Harga,Deksripsi,Concatenated
9aa38c46-e746-4d77-8394-f28eb0274cb9,Fashion & Bag,Allea Scarf Warna Soft Brown By Allea Gallery,250000,Allea Scarf Warna Soft Brown by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna soft brown (coklat muda) dengan motif warna putih dan dark brown (coklat tua)- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas,Allea Scarf Warna Soft Brown By Allea Gallery 250000 Allea Scarf Warna Soft Brown by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna soft brown (coklat muda) dengan motif warna putih dan dark brown (coklat tua)- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas
49cab9e9-e58d-443c-8bfc-543955028601,Fashion & Bag,Allea Scarft Warna Putih By Allea Gallery,250000,Allea Scarft Warna Putih by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna putih dengan motif berawarna pink dan orange- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas,Allea Scarft Warna Putih By Allea Gallery 250000 Allea Scarft Warna Putih by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna putih dengan motif berawarna pink dan orange- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas
bd156e47-49d7-410e-a305-21f946d137ee,Fashion & Bag,Allea Scarf Warna Soft Pink By Allea Gallery,250000,"Allea Scarf Warna Soft Pink by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna soft pink dengan motif berawarna putih, pink, dark pink- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas","Allea Scarf Warna Soft Pink By Allea Gallery 250000 Allea Scarf Warna Soft Pink by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna soft pink dengan motif berawarna putih, pink, dark pink- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas"
6ff3a321-0ac5-4006-94f9-9edc05bae232,Fashion & Bag,Allea Scarf Dusty Pink By Allea Gallery,250000,Allea Scarf Dusty Pink by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna dusty pink dengan motif berawarna putih orange dan coklat- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas,Allea Scarf Dusty Pink By Allea Gallery 250000 Allea Scarf Dusty Pink by Allea Gallery- Motif cantik berbagai rupa- mudah untuk dirapikan- warna dusty pink dengan motif berawarna putih orange dan coklat- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas
6960bf39-d6fe-4692-a8e4-55ceebd91347,Fashion & Bag,Allea Scarf Dark Blue By ALLEA GALLERY,250000,Allea Scarf Dark Blue by ALLEA GALLERY - Motif cantik berbagai rupa- mudah untuk dirapikan- warna dark blue (biru tua) dengan motif berawarna pitih dan pink muda- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas,Allea Scarf Dark Blue By ALLEA GALLERY 250000 Allea Scarf Dark Blue by ALLEA GALLERY - Motif cantik berbagai rupa- mudah untuk dirapikan- warna dark blue (biru tua) dengan motif berawarna pitih dan pink muda- bahan ringan dan tidak panas (adem) untuk digunakan seharian- premium collection dari ALLEA GALLERYswipe foto untuk melihat detail produk lebih jelas
947eb1b7-28f7-4605-bb34-46f4dedda8db,Fashion & Bag,Allea Scarf Warna Ungu,240000,"Allea Scarf warna unggu by Allea Gallery, - bahan lembut dengan berbagai motif- Mudah rapi- Tidak gerah dan nyaman digunakan seharian- premium collection","Allea Scarf Warna Ungu 240000 Allea Scarf warna unggu by Allea Gallery, - bahan lembut dengan berbagai motif- Mudah rapi- Tidak gerah dan nyaman digunakan seharian- premium collection"
128064f8-9db9-4a23-bb81-ca6c238df95e,Makanan & Minuman,Jamur Krispy Kecil 25 Gr,6000,"Jamur Krispy Kecil ""Difiya Jamur"" yang super renyah dan gurih, si kecil yang bikin ketagihan, terdapat varian kotak yang lebih banyak, cek untuk varian difiya jamur lainnya","Jamur Krispy Kecil 25 Gr 6000 Jamur Krispy Kecil ""Difiya Jamur"" yang super renyah dan gurih, si kecil yang bikin ketagihan, terdapat varian kotak yang lebih banyak, cek untuk varian difiya jamur lainnya"
48362511-937e-48e9-ad56-f6383abf273a,Makanan & Minuman,Sate Rembiga 100 Gr,36500,"Sate Rembiga Goyang Lidah dari ukm Goyang lidah (isi 10 tusuk), lesahan rembiga Mataram NTB, dikemas dengan cara vakum sehingga menjaga rasa asli sate rembige dengan waktu yang cukup lama, simpan ditempat dinginBeli sekarang juga hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa #TheBestChoiceofLocalBrand#saterembige #goyanglidah #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB","Sate Rembiga 100 Gr 36500 Sate Rembiga Goyang Lidah dari ukm Goyang lidah (isi 10 tusuk), lesahan rembiga Mataram NTB, dikemas dengan cara vakum sehingga menjaga rasa asli sate rembige dengan waktu yang cukup lama, simpan ditempat dinginBeli sekarang juga hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa #TheBestChoiceofLocalBrand#saterembige #goyanglidah #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB"
ae61a2ab-2a84-434c-95e6-3e68d33c1402,Makanan & Minuman,Serbat Jahe Pawon Pengsong Pack Isi 15,45000,Serbat Jahe pack isi 15 pcs dari UKM Pawon Pengsong Lombok Barat,Serbat Jahe Pawon Pengsong Pack Isi 15 45000 Serbat Jahe pack isi 15 pcs dari UKM Pawon Pengsong Lombok Barat
c4cfb6dc-f8e6-4f48-acdb-6900918f2faf,Makanan & Minuman,Serbat Jahe Pawon Pengsong 100 Gr,15000,Minuman kesehatan serbat jahe dari Pawon Pengsong Lobok BaratNetto 100 grBeli sekarang juga hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa #TheBestChoiceofLocalBrand#pawonpengsong #serbatjahe #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB,Serbat Jahe Pawon Pengsong 100 Gr 15000 Minuman kesehatan serbat jahe dari Pawon Pengsong Lobok BaratNetto 100 grBeli sekarang juga hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa #TheBestChoiceofLocalBrand#pawonpengsong #serbatjahe #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB
ad1c211e-1cda-4552-8ec2-48fa2d4da2ff,Makanan & Minuman,Kopi Rempah Pawon Pengsong,32000,"Kopi Rempah dari UKM Pawon Pengsong Lombok, berat 100 gr, terbuat dari campuran rempah-rempah yang memberikan manfaat serta sensasi hangat setiap kali meminumnya","Kopi Rempah Pawon Pengsong 32000 Kopi Rempah dari UKM Pawon Pengsong Lombok, berat 100 gr, terbuat dari campuran rempah-rempah yang memberikan manfaat serta sensasi hangat setiap kali meminumnya"
04c176ea-015f-45cb-88cb-d7c0d6ae1b71,Makanan & Minuman,Kopi Lanang Pawon Pengsong,75000,"Kopi Lanang dari UMKM Pawon Pengsong Lombok, berat 200 gr, produk kopi Lombok Barat","Kopi Lanang Pawon Pengsong 75000 Kopi Lanang dari UMKM Pawon Pengsong Lombok, berat 200 gr, produk kopi Lombok Barat"
fcdbae9e-0250-42a0-b240-4100ab410c74,Makanan & Minuman,Kopi Jahe Pawon Pengsong 200 Gr,45000,"Kopi Jahe dari Pawon Pengsong Lombok, Netto 200 gr, bersertifikasi halal, produk kopi dari Lombok baratBeli sekarang juga hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa #TheBestChoiceofLocalBrand#pawonpengsong #kopijahe #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB","Kopi Jahe Pawon Pengsong 200 Gr 45000 Kopi Jahe dari Pawon Pengsong Lombok, Netto 200 gr, bersertifikasi halal, produk kopi dari Lombok baratBeli sekarang juga hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa #TheBestChoiceofLocalBrand#pawonpengsong #kopijahe #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB"
2dcca669-46fd-48ae-9d91-a4be95739db8,Makanan & Minuman,Keripik Kopi Torabica Ichiro,17500,"Menikmati keripik dengan sensasi yang berbeda, keripik rasa kopi torabica dari UKM Ichiro Lombok Barat, ukuran 150 gr","Keripik Kopi Torabica Ichiro 17500 Menikmati keripik dengan sensasi yang berbeda, keripik rasa kopi torabica dari UKM Ichiro Lombok Barat, ukuran 150 gr"
5a29490d-8e1a-4bec-8899-f0a793c7e060,Makanan & Minuman,Keripik Coklat Ichiro,17500,"Keripik dengan rasa coklat dari UKM Ichiro Lombok Barat, oleh-oleh khas Lombok","Keripik Coklat Ichiro 17500 Keripik dengan rasa coklat dari UKM Ichiro Lombok Barat, oleh-oleh khas Lombok"
cce2f2a0-416d-429d-98c9-421e19f1c6e6,Makanan & Minuman,Kue Coklat Almond 250 Gr,65000,"Kue Coklat Almond Nutsafir 250 grNetto 250 grHomemade with Love, Nutsafir adalah makanan kue kering dengan bahan biji-bijian yang tumbuh di Pulau Lombok, beli sekarang juga sebagai oleh-oleh atau sebagai stock cemilan di rumah.hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa#nutsafir #kuecoklat #almond #Kuekering #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB","Kue Coklat Almond 250 Gr 65000 Kue Coklat Almond Nutsafir 250 grNetto 250 grHomemade with Love, Nutsafir adalah makanan kue kering dengan bahan biji-bijian yang tumbuh di Pulau Lombok, beli sekarang juga sebagai oleh-oleh atau sebagai stock cemilan di rumah.hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa#nutsafir #kuecoklat #almond #Kuekering #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB"
10e12a6f-b471-4682-8b31-507a7f38252d,Makanan & Minuman,Kue Keju Jagung 250 Gr,65000,"Kue Keju Jagung Nutsafir 250 grNetto 250Kue kering rasa keju dan jagung by Nutsafir Lombok, kemasan dalam toples, cocok dijadikan oleh oleh hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa#nutsafir #kuekejujagung #Kuekering #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB","Kue Keju Jagung 250 Gr 65000 Kue Keju Jagung Nutsafir 250 grNetto 250Kue kering rasa keju dan jagung by Nutsafir Lombok, kemasan dalam toples, cocok dijadikan oleh oleh hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa#nutsafir #kuekejujagung #Kuekering #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB"
bc7aaef7-49e4-4b7a-a407-19bfa1369369,Makanan & Minuman,Nustafir Mete Toples,65000,"Kue kering rasa kacang mete dengan kemasan toples, cocok dijadikan hadiah untuk orang terkasih, oleh oleh khas Lombok, menggunakan bahan bahan premium","Nustafir Mete Toples 65000 Kue kering rasa kacang mete dengan kemasan toples, cocok dijadikan hadiah untuk orang terkasih, oleh oleh khas Lombok, menggunakan bahan bahan premium"
a1844fe7-d8f9-4040-a413-31f303cfe95a,Makanan & Minuman,Kue Kelapa 120 Gr,27500,"Kue Kelapa Nutsafir 120 grNetto 120 grHomemade with Love, Nutsafir adalah makanan kue kering dengan bahan biji-bijian yang tumbuh di Pulau Lombok, beli sekarang juga sebagai oleh-oleh atau sebagai stock cemilan di rumah.hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa#nutsafir #kuekacangijo #Kuekering #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB","Kue Kelapa 120 Gr 27500 Kue Kelapa Nutsafir 120 grNetto 120 grHomemade with Love, Nutsafir adalah makanan kue kering dengan bahan biji-bijian yang tumbuh di Pulau Lombok, beli sekarang juga sebagai oleh-oleh atau sebagai stock cemilan di rumah.hanya di NTB Mall karena di NTB Mall #SemuaAdaSemuaBisa#nutsafir #kuekacangijo #Kuekering #produklokal #kerajinan #bambu #NTBMall #oleholehlombok #khasLombok #Lombok #NTB #Sumbawa #BeladanBeliProdukLokal #BanggaBuatanIndonesia #kaintenun #songket #makanankhas #jalanjalan #tempatwisata #marketplaceNTB"
